Participant,Start,End,Transcript,keywords,Action_Objects
1,86.43,87.67,prepare things for this one,this,"a2-RedBlock, a88-RedBlock"
1,112.41,114.39,so you think they're the same weight or,they,
1,116.13,118.17,they're still teetering,they,
1,144.5,147.27,i think they're the same weight yeah,they,
2,142.38,145.07,i think they are same weight,they,
3,162.4,165.36,the blue one is also ten right,blue,
3,165.45,167.82,so i should indicate it as ten,it,
1,186.96,192.42,the suspense is killing me it takes forever,it,
3,214.42,219.93,yes it's probably twenty so green one is twenty,"green, it",
1,212.13,214.16,sufficient to say that one's probably twenty or,that,
1,232.32,235.65,i think that's a good guess,that,a17-YellowBlock
2,238.47,240.45,the purple one is thirty,purple,
3,241.8,243.42,purple is thirty yeah,purple,
2,243.66,246.0,which is blue and which is purple,"blue, purple",a18-BlueBlock
2,246.36,247.42,hold that purple,"purple, that",
1,246.36,250.86,i think this is more purple-y yeah,"purple, this","a19-BlueBlock, a20-PurpleBlock"
3,248.5,250.25,this is blue maybe,"blue, this",
1,254.04,264.18,this one feels just a smidge heavier yeah try that one,"this, that","a21-GreenBlock, a22-GreenBlock, a58-YellowBlock, a59-PurpleBlock, a60-RedBlock, a61-PurpleBlock, a95-YellowBlock, a96-GreenBlock"
3,264.21,266.16,green is twenty right,green,
2,265.65,268.29,green and this one,"green, this",
3,269.35,272.58,green is twenty and purple is thirty so it weighs to fifty,"green, purple, it",
1,274.95,277.05,it seems to be,it,
3,277.53,279.75,yeah i mentioned here green is twenty,green,
2,277.92,281.43,it's leaning more this side so,"it, this",
2,285.18,287.82,it's leaning more to the side,it,
3,288.93,294.3,so how about yellow,yellow,"a23-GreenBlock, a62-RedBlock"
2,298.35,300.96,then green is twenty and they weigh,"green, they",a97-None
3,295.29,298.0,uh put both of these,these,"a63-RedBlock, a64-BlueBlock, a81-RedBlock"
1,305.46,309.58,wait purple is how much purple was thirty,"purple, purple",
3,309.08,310.8,purple is thirty,purple,
3,314.1,315.58,yellow is of course not ten but,yellow,
1,316.41,317.43,and green is,green,
1,326.85,330.69,have we tried these two and the green one cause it's,"green, these, it",a24-GreenBlock
1,336.06,338.42,nope that's too light ok too light,that,
3,337.33,341.55,no so when we try these both,these,"a27-BlueBlock, a67-PurpleBlock, a99-PurpleBlock"
3,344.01,348.36,so i feel yellow is fifty,yellow,"a28-RedBlock, a100-RedBlock"
1,345.75,347.42,that is equivalent to the,that,
3,356.19,359.46,this has thirty and twenty,this,a29-RedBlock
3,359.91,362.94,yeah green is twenty and purple is thirty,"green, purple",
2,366.06,371.16,it's for sure not thirty,it,a68-RedBlock
1,371.49,378.24,so if you put the purple and just to verify that all of our weights are correct,"purple, that","a30-PurpleBlock, a69-GreenBlock, a70-BlueBlock, a71-None"
1,396.69,404.73,it must be this right because comparing it to forty it's,"it, this, it, it",
1,405.48,407.64,not that heavy,that,
1,413.94,415.92,try it,it,"a31-YellowBlock, a32-GreenBlock"
3,427.92,430.44,twenty green yeah,green,a37-GreenBlock
3,432.25,433.84,yeah and this is fifty,this,
2,431.58,435.75,thirty and yellow is fifty,yellow,"a38-PurpleBlock, a39-YellowBlock"
2,435.78,440.73,maybe we should try those things here,those,
3,461.81,466.8,uh just till fifty so should i sumbit it,it,
3,469.65,473.16,correct red is ten blue is ten,"red, blue",
3,473.7,477.58,green is twenty purple is thirty and yellow is fifty yeah good,"green, purple, yellow",
1,497.58,500.34,think it's a little heavier than the yellow,"yellow, it","a42-YellowBlock, a43-MysteryBlock, a73-MysteryBlock"
1,518.79,522.48,is there a way for us to test it other than just our,it,a75-YellowBlock
3,532.53,536.73,i think this is a bit more heavier and,this,"a46-MysteryBlock, a76-YellowBlock, a83-PurpleBlock"
1,548.37,559.95,i bet there's a scale app on our phone and i bet it's cheating to download that,"it, that","a48-BlueBlock, a78-PurpleBlock, a117-MysteryBlock"
2,567.39,569.61,yeah it could be eighty ninety,it,
3,570.91,574.89,i think it is between ninety to a hundred,it,a49-GreenBlock
3,576.3,581.25,because yeah green is twenty thirty and fifty right so,green,a85-BlueBlock
1,587.04,590.67,is it twice as heavy as the yellow one i can't tell,"yellow, it","a50-GreenBlock, a79-YellowBlock, a86-BlueBlock, a87-PurpleBlock, a113-YellowBlock"
2,589.42,590.67,no it's not,it,
1,591.45,596.94,are the wait which one was the fifty one it was the it was yellow ok,"yellow, it, it",
3,594.17,596.94,fifty is yellow yeah,yellow,
2,599.13,601.83,it's not twice as heavy as yellow,"yellow, it",a112-YellowBlock
2,609.12,612.06,i think it's between eighty and ninety,it,"a102-GreenBlock, a106-BlueBlock, a110-PurpleBlock"
1,616.05,621.0,i have a question ok somebody like hold the yellow and the brown like,"yellow, brown","a103-PurpleBlock, a107-BlueBlock"
