Utterance,Participant,Start,End,Transcript,Action_Objects,Annotation
12,2,61.74,65.73,i would say [that]'s equal probably,,[rb]
13,1,77.85,84.6,yeah ok so [that] one will go,,[g]
14,2,77.85,84.6,yeah [that]'s good,,[-]
15,3,77.85,84.6,yeah [it] should be same i guess,"a3-BlueBlock, a40-GreenBlock, a68-BlueBlock, a69-GreenBlock, a70-BlueBlock",[rb]
16,3,91.05,93.03,i think [it]'s the,,[rbg]
17,2,95.1,97.83,yeah [it]'s probably equal,,[rbg]
19,3,106.77,111.27,[that]'s not,"a7-BlueBlock, a8-YellowBlock, a41-PurpleBlock, a73-BlueBlock, a74-PurpleBlock, a75-YellowBlock",[gp]
22,3,130.26,133.35,[that] was twenty ten yep,,[bg]
23,1,130.26,133.35,[that] was twenty and ten right,,[bg]
27,1,140.7,146.1,the two the yellow and green i don't know just kidding,"a14-YellowBlock, a15-RedBlock, a16-GreenBlock, a44-RedBlock, a45-BlueBlock, a79-YellowBlock, a80-GreenBlock",
28,2,159.72,167.91,just like ever so slightly though so [it]'s probably probably say [that]'s equal,,[gpy] [gpy]
29,3,159.72,167.91,i think [it]'s sixty so [this] should be fifty less,"a17-PurpleBlock, a18-GreenBlock, a46-YellowBlock, a81-PurpleBlock, a82-YellowBlock",[y] [y]
31,3,168.42,174.57,[this] one was thirty so [this] should be fifty less,a19-PurpleBlock,[p] [y]
34,3,186.51,188.61,yellow is,,
35,3,203.76,205.74,can i do [it],,[-]
38,3,210.81,215.88,so [it] is ten yellow is fifty [that]'s right green is twenty,,[b] [-]
39,3,216.03,222.27,yeah we are right which one is mystery block,,
